client_id,message_id,server_id,client_send_time,server_processing_time,client_receive_time,response_time,num_servers,num_clients,num_messages
client_1_4765,1,server-deployment-go-6599c6478b-8vptq,1752846296.406275,0.002077,1752846296.409822,0.003546,2,10,1
client_1_9214,1,server-deployment-go-6599c6478b-8vptq,1752846296.499758,0.001619,1752846296.502103,0.002345,2,10,1
client_1_9772,1,server-deployment-go-6599c6478b-8vptq,1752846296.533095,0.001836,1752846296.535595,0.002501,2,10,1
client_1_8475,1,server-deployment-go-6599c6478b-8vptq,1752846296.618364,0.002088,1752846296.620935,0.002571,2,10,1
client_1_7839,1,server-deployment-go-6599c6478b-8vptq,1752846296.625743,0.002201,1752846296.628420,0.002677,2,10,1
client_1_5314,1,server-deployment-go-6599c6478b-8vptq,1752846296.628213,0.001345,1752846296.629880,0.001666,2,10,1
client_1_1066,1,server-deployment-go-6599c6478b-p2plc,1752846296.413078,0.001950,1752846296.416367,0.003289,2,10,1
client_1_6502,1,server-deployment-go-6599c6478b-p2plc,1752846296.421362,0.001876,1752846296.424667,0.003305,2,10,1
client_1_4897,1,server-deployment-go-6599c6478b-p2plc,1752846296.570688,0.001739,1752846296.573001,0.002313,2,10,1
client_1_9425,1,server-deployment-go-6599c6478b-p2plc,1752846296.621758,0.001738,1752846296.624002,0.002244,2,10,1
client_1_9698,10,server-deployment-go-664b86b746-c4n2m,1752846317.963671,0.001849,1752846317.983670,0.019999,2,10,10
client_1_1387,10,server-deployment-go-664b86b746-c4n2m,1752846318.056764,0.002059,1752846318.078523,0.021759,2,10,10
client_1_1800,10,server-deployment-go-664b86b746-gklrr,1752846317.865685,0.002234,1752846317.900231,0.034546,2,10,10
client_1_9708,10,server-deployment-go-664b86b746-gklrr,1752846317.885492,0.001677,1752846317.906789,0.021297,2,10,10
client_1_9540,10,server-deployment-go-664b86b746-gklrr,1752846317.930690,0.001877,1752846317.953319,0.022629,2,10,10
client_1_8433,10,server-deployment-go-664b86b746-gklrr,1752846317.937844,0.001853,1752846317.960590,0.022747,2,10,10
client_1_5773,10,server-deployment-go-664b86b746-gklrr,1752846317.962333,0.002204,1752846317.986014,0.023681,2,10,10
